decided_at,decision_id,from_layer,input_sha256,passed_gate_ids,reason_codes,required_gate_ids,scope_notes,status,subject_id,to_layer
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0070,bronze_b1,"[""bbc84d73aca4446da1e6db15fe2feb6cb997bc7a2f598c6eeffad4bafc4dc44c""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:bbc84d73aca4446da1e6db15fe2feb6cb997bc7a2f598c6eeffad4bafc4dc44c,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0002,bronze_b1,"[""0e09a522b926b97998c4f011d0cc387488032b4e40df5329f330ac9a5243ad74""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:0e09a522b926b97998c4f011d0cc387488032b4e40df5329f330ac9a5243ad74,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0065,bronze_b1,"[""4e4eb1507d7e33b95d327e8b81495b8eb1da6c744d57ed0d932c36c36974c6bc""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:4e4eb1507d7e33b95d327e8b81495b8eb1da6c744d57ed0d932c36c36974c6bc,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0287,bronze_b1,"[""9bf97e3c02cc3fa75a1e7dde2f120340d661721166a385b06fb6c793b535223e""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:9bf97e3c02cc3fa75a1e7dde2f120340d661721166a385b06fb6c793b535223e,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0081,bronze_b1,"[""b830eefceec51efe7f6d1470e74ef3104063d991ffab903286a43fa9c537248c""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:b830eefceec51efe7f6d1470e74ef3104063d991ffab903286a43fa9c537248c,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0170,bronze_b1,"[""b0686443f5b9348c64423e96b87517a881522ba477670c887e96f84ec78af1b7""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:b0686443f5b9348c64423e96b87517a881522ba477670c887e96f84ec78af1b7,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0294,bronze_b1,"[""45ed18f4838937299211955ac63b0cc39338306ef4094cc6c1ba08562075311c""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:45ed18f4838937299211955ac63b0cc39338306ef4094cc6c1ba08562075311c,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0016,bronze_b1,"[""66a5f2cbc0fae10fbefbaeea06889350372b14009b44ea49d43cc33cb764877a""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:66a5f2cbc0fae10fbefbaeea06889350372b14009b44ea49d43cc33cb764877a,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0150,bronze_b1,"[""53754a7762fae7dd47340090061e948c8a541cdbc30fec1b4a77bc9482bc7d07""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:53754a7762fae7dd47340090061e948c8a541cdbc30fec1b4a77bc9482bc7d07,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0131,bronze_b1,"[""4fec193066506e04d1e1b4a17ce181429274a4a5b34564f9903caae5fb57bcfd""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:4fec193066506e04d1e1b4a17ce181429274a4a5b34564f9903caae5fb57bcfd,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0102,bronze_b1,"[""eb66b3309efc74303018df0d09bc28df285d9aa895b83590e3eb8c28073f2cf7""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:eb66b3309efc74303018df0d09bc28df285d9aa895b83590e3eb8c28073f2cf7,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0092,bronze_b1,"[""153107a7b9a1681a874994a8c417c65039374626b44e7c83075b80d02f497d44""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:153107a7b9a1681a874994a8c417c65039374626b44e7c83075b80d02f497d44,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0082,bronze_b1,"[""d145e5cbd35df9c6458b6577ebd18a471d75b139fd3df9a611b62fca2a9c8b67""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:d145e5cbd35df9c6458b6577ebd18a471d75b139fd3df9a611b62fca2a9c8b67,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0248,bronze_b1,"[""1656f7f353e81235ab22feff01ffb68a261a39de9be66483cf7b154da337098c""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:1656f7f353e81235ab22feff01ffb68a261a39de9be66483cf7b154da337098c,bronze_b2
