allowed,import_kind,line,reason,source_layer,source_module,target_layer,target_module
True,from,20,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.pbs_csv,foundation,reimburse_atlas.contracts
True,from,21,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.parsers.pbs_csv,foundation,reimburse_atlas.parsers.normalise
True,from,14,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.pbs_api_evidence,foundation,reimburse_atlas.contracts
True,from,15,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.pbs_api_evidence,foundation,reimburse_atlas.io
True,from,9,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.policy_metrics,foundation,reimburse_atlas.contracts
True,from,10,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.policy_metrics,foundation,reimburse_atlas.models
True,from,9,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.protocols,foundation,reimburse_atlas.io
True,from,10,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.protocols,foundation,reimburse_atlas.models
True,from,11,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.protocols,foundation,reimburse_atlas.registry
True,from,12,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.publication,foundation,reimburse_atlas.registry
True,from,7,Layer dependency respects inward/downward architecture.,foundation,reimburse_atlas.quality,foundation,reimburse_atlas.models
True,from,14,Layer dependency respects inward/downward architecture.,foundation,reimburse_atlas.registry,foundation,reimburse_atlas.contracts
True,from,15,Layer dependency respects inward/downward architecture.,foundation,reimburse_atlas.registry,foundation,reimburse_atlas.models
True,from,32,Layer dependency respects inward/downward architecture.,foundation,reimburse_atlas.registry,foundation,reimburse_atlas.terminologies
True,from,11,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.release_readiness,foundation,reimburse_atlas.io
True,from,12,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.release_readiness,foundation,reimburse_atlas.registry
True,from,10,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.research_package,orchestration,reimburse_atlas.publication
True,from,8,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.review_queue,foundation,reimburse_atlas.contracts
True,from,9,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.roadmap_linkages,foundation,reimburse_atlas.io
True,from,10,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.roadmap_linkages,foundation,reimburse_atlas.models
True,from,13,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.sbom,foundation,reimburse_atlas.registry
True,from,13,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.scoring,foundation,reimburse_atlas.models
True,from,13,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.snapshots,foundation,reimburse_atlas.contracts
True,from,14,Layer dependency respects inward/downward architecture.,parsing,reimburse_atlas.snapshots,foundation,reimburse_atlas.registry
True,from,18,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.source_contracts,foundation,reimburse_atlas.io
True,from,19,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.source_contracts,foundation,reimburse_atlas.models
True,from,20,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.source_contracts,foundation,reimburse_atlas.registry
True,from,21,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.source_contracts,orchestration,reimburse_atlas.source_downloads
True,from,18,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.source_downloads,foundation,reimburse_atlas.io
True,from,19,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.source_downloads,foundation,reimburse_atlas.models
True,from,11,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.source_drift,foundation,reimburse_atlas.io
True,from,12,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.source_drift,foundation,reimburse_atlas.models
True,from,13,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.source_drift,foundation,reimburse_atlas.registry
True,from,11,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.source_validation,foundation,reimburse_atlas.io
True,from,12,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.source_validation,foundation,reimburse_atlas.models
True,from,13,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.source_validation,foundation,reimburse_atlas.registry
True,from,14,Layer dependency respects inward/downward architecture.,orchestration,reimburse_atlas.source_validation,orchestration,reimburse_atlas.source_downloads
True,from,17,Layer dependency respects inward/downward architecture.,foundation,reimburse_atlas.terminologies,foundation,reimburse_atlas.models
True,from,18,Layer dependency respects inward/downward architecture.,foundation,reimburse_atlas.terminologies,foundation,reimburse_atlas.parsers.normalise
True,from,12,Layer dependency respects inward/downward architecture.,foundation,reimburse_atlas.toolchain,foundation,reimburse_atlas.registry
True,from,11,Layer dependency respects inward/downward architecture.,foundation,reimburse_atlas.validation,foundation,reimburse_atlas.registry
True,from,10,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.vector_index,analysis,reimburse_atlas.analysis.mapping_evidence
True,from,11,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.vector_index,foundation,reimburse_atlas.contracts
True,from,12,Layer dependency respects inward/downward architecture.,analysis,reimburse_atlas.warehouse,foundation,reimburse_atlas.registry
