decision_date,decision_id,decision_status,economic_notes,evidence_standard,jurisdiction,provenance,restriction_summary,source_id,technology_domain,technology_name
2001-07-01,NCD-42-v1,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Biofeedback Therapy for the Treatment of Urinary Incontinence
1978-08-01,NCD-43-v1,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Oxygen Treatment of Inner Ear/Carbon Therapy
1996-05-24,NCD-44-v1,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Blood Platelet Transfusions
2002-11-25,NCD-46-v1,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Human Immunodeficiency Virus (HIV) Testing (Prognosis Including Monitoring)
1966-01-01,NCD-47-v1,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Treatment of Decubitus Ulcers
1966-01-01,NCD-48-v1,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Vertebral Artery Surgery
2023-04-10,NCD-50-v3,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Intestinal Bypass Surgery - RETIRED
1966-01-01,NCD-51-v1,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Fabric Wrapping of Abdominal Aneurysms
1978-12-15,NCD-52-v1,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Therapeutic Embolization
2009-12-08,NCD-53-v3,covered,,CMS National Coverage Determination,United States,"{""effective_date"": null, ""licence_class"": ""permissive"", ""retrieved_at"": null, ""source_id"": ""us_cms_mcd"", ""source_url"": ""https://downloads.cms.gov/medicare-coverage-database/downloads/exports/ncd.zip"", ""source_version"": ""us_cms_mcd_ncd_2026_07_20"", ""transformation_notes"": ""Retained NCD identity, title, dates, and national/termination flags; excluded long HTML text and did not infer item-level coverage.""}",National NCD export metadata; consult the cited NCD.,us_cms_mcd,medicare_coverage,Human Immunodeficiency Virus (HIV) Testing (Diagnosis)
